graph_id,source_node,target_node,weight
0,0,1,0.7142160922395046
0,0,2,0.6843122622686602
0,0,3,0.7956999227003376
0,0,4,0.8606269051310983
0,0,5,0.6945986764800618
0,0,6,0.49408320178411036
0,0,8,0.19651893964736705
0,0,10,0.7201315759890354
0,1,11,0.9727702924175138
0,2,11,0.47106423706265255
0,3,7,0.9232322445828371
0,4,9,0.2498312949325115
0,5,11,0.21948196930873903
0,6,11,0.5897322211537867
0,7,11,0.2234367113506434
0,8,11,0.43404510733908863
0,9,11,0.19273172900608088
0,10,11,0.8650340313916703
1,0,1,0.44790209205397136
1,0,2,0.11128581651062451
1,0,9,0.6328654258510922
1,1,3,0.7532774314971881
1,1,6,0.8574122241753932
1,1,7,0.3882500845610284
1,1,8,0.4156509865642175
1,2,4,0.6826163362934894
1,2,5,0.41965479086858704
1,2,6,0.8459188004160052
1,3,10,0.9133908394693908
1,4,6,0.811317545076894
1,4,7,0.7796564910997109
1,5,7,0.6356393551257841
1,5,8,0.768464961054269
1,6,7,0.8958420705673008
1,7,8,0.8577661946897343
1,8,10,0.6214743337260347
1,9,10,0.34920974212633005
2,0,1,0.4427510407348606
2,0,2,0.18406036760356465
2,0,3,0.665677664033786
2,0,8,0.6288735963958404
2,1,4,0.6956697647166257
2,2,5,0.3946314575580018
2,2,7,0.23857145639098254
2,3,4,0.4542961479643356
2,3,6,0.3611947126057401
2,4,6,0.34762369049505476
2,4,7,0.5034084506501522
2,5,7,0.6433279965468347
2,6,9,0.7246681033676119
2,7,9,0.18792831074596586
2,8,9,0.20921332327830716
3,0,1,0.5709627153293899
3,0,2,0.6235739151449861
3,0,6,0.8699881832612034
3,0,10,0.3418311336955517
3,1,3,0.2697541671096403
3,1,7,0.5059689137669345
3,1,8,0.29926702824173035
3,2,4,0.6893504229195182
3,2,7,0.9580630733337007
3,2,8,0.10565546039918476
3,3,4,0.17384611687524046
3,3,5,0.6760523454532621
3,4,9,0.3801302792725306
3,5,7,0.7533879238884131
3,6,8,0.44856471059945435
3,7,11,0.4674729415949528
3,8,9,0.6717715144101241
3,9,11,0.33465626162849915
3,10,11,0.9488047174605311
4,0,1,0.32640746913054686
4,0,3,0.2811194243685733
4,0,5,0.6831070708049354
4,0,11,0.940907122600424
4,1,2,0.3923893713842388
4,1,4,0.2709459351203062
4,1,7,0.5213021328034988
4,2,9,0.34471864795958007
4,3,7,0.8201761082626194
4,3,10,0.817750591358871
4,4,6,0.8284746446595599
4,5,7,0.9843717715813186
4,5,9,0.7068562555937409
4,5,10,0.9251182564723509
4,6,7,0.41980466958628726
4,6,10,0.49797740290458703
4,7,8,0.3308934007868137
4,7,10,0.635712966855923
4,8,10,0.3462769697898336
4,9,12,0.6593618307852624
4,10,12,0.45944712956936873
4,11,12,0.9764171555427708
5,0,1,0.48066166186808035
5,0,2,0.302395706874297
5,0,9,0.16245257888219766
5,1,3,0.6834949724742366
5,1,5,0.2782640975039835
5,1,6,0.4728283871732778
5,1,8,0.5928074542973678
5,2,3,0.4038550564659362
5,2,4,0.24514471069145263
5,2,5,0.18577434071214277
5,2,8,0.29434622534567967
5,3,7,0.42935998468512193
5,3,8,0.6186883935141376
5,4,5,0.16915239033996154
5,5,10,0.36238329347366194
5,6,8,0.2197011331021741
5,7,10,0.9498123511188384
5,8,10,0.560137820371502
5,9,10,0.3131091388607149
6,0,1,0.5898794249954363
6,0,5,0.39567418491075357
6,0,6,0.8722707823870501
6,0,10,0.30824700866420784
6,1,2,0.758263491990377
6,1,3,0.14099541962239373
6,1,7,0.23424364728529135
6,2,4,0.6217427370551369
6,2,7,0.7519664439207808
6,2,8,0.3240687375640465
6,3,11,0.8508863912898001
6,4,8,0.2818953330812134
6,4,9,0.22432682982664703
6,5,7,0.7669684323529494
6,6,7,0.8580242178012053
6,7,8,0.7557599449439595
6,8,11,0.9966112439728602
6,9,11,0.6483335329919109
6,10,11,0.8233283192430154
7,0,1,0.9871243200394889
7,0,2,0.7441331032760549
7,0,3,0.11601363182968856
7,0,4,0.30228002116749
7,0,6,0.2839905506681424
7,0,7,0.2998041878171551
7,0,9,0.1304038506974893
7,1,5,0.8172457530230237
7,2,10,0.9490543546668139
7,3,10,0.7785073535014478
7,4,8,0.5779724529372801
7,5,10,0.7091874672799189
7,6,8,0.8307298798964868
7,7,8,0.3204695016611493
7,8,10,0.7550950208418689
7,9,10,0.6837241485957827
8,0,1,0.5139504002664645
8,0,2,0.5806342860865643
8,0,3,0.7572899395917597
8,0,5,0.6667403030180703
8,0,7,0.7038549401098964
8,0,9,0.2062615265478589
8,0,10,0.7089537827145738
8,1,4,0.635649045535496
8,1,6,0.5159925277817187
8,2,11,0.31972993756993273
8,3,6,0.5480714925138475
8,4,11,0.26537410220523644
8,5,11,0.3537064143907488
8,6,11,0.9158799571523665
8,7,8,0.23773023043395175
8,8,11,0.2517741892688326
8,9,11,0.8460721946940445
8,10,11,0.4879763069461064
9,0,1,0.2875528122347855
9,0,2,0.12065926295060814
9,0,10,0.21036712549658115
9,1,9,0.5933751566702484
9,2,3,0.4255544704491099
9,2,4,0.413435850639585
9,2,6,0.6003487790508407
9,2,7,0.5027997118577587
9,2,8,0.6362348685035402
9,3,8,0.4081629419361871
9,3,9,0.4900291937036152
9,4,5,0.8962248253769808
9,4,6,0.4208525765537612
9,4,7,0.42759851403484805
9,4,9,0.6198112582632558
9,5,6,0.964292790738771
9,5,9,0.9071926862363401
9,6,9,0.10313820822283126
9,7,8,0.5623716534593434
9,8,9,0.2481492772784857
9,9,11,0.40135871752916175
9,10,11,0.46706059527510635
10,0,1,0.13254289758355486
10,0,2,0.9260995227660973
10,0,3,0.770338127310075
10,0,5,0.12179588523945424
10,0,9,0.4019785416047341
10,1,6,0.5174875891108887
10,1,8,0.4381636073715678
10,2,4,0.9864466711205031
10,2,7,0.510303900372739
10,3,6,0.8177452252671885
10,4,6,0.4159063428344467
10,5,7,0.40170872482392694
10,6,10,0.7227382247065942
10,7,10,0.10326843229334155
10,8,10,0.5424090419394728
10,9,10,0.8744345586605202
11,0,1,0.5282182250161216
11,0,2,0.10507357655598443
11,0,3,0.25883983003015615
11,0,10,0.7365544931123119
11,1,6,0.5196271614652617
11,1,7,0.8549973899961179
11,1,9,0.5377946572486997
11,2,6,0.3436376473540173
11,2,8,0.9531766603006304
11,3,4,0.6537938303656261
11,3,6,0.7177034126893441
11,4,5,0.4685417858835753
11,4,6,0.8097699343505097
11,5,6,0.48934250519651457
11,5,8,0.6131464250761441
11,6,7,0.8210948306357146
11,6,8,0.32812610916796137
11,6,9,0.839647380609566
11,7,11,0.14629019393164244
11,8,11,0.5648331793926091
11,9,11,0.48894383324285384
11,10,11,0.5208536224393718
12,0,1,0.7069927259051825
12,0,2,0.9339703658260169
12,0,3,0.8390388936936671
12,0,5,0.19025479672494255
12,0,10,0.24952603682767058
12,1,6,0.4817840793425058
12,1,7,0.3395326418048259
12,1,9,0.9984113341119099
12,2,11,0.7561218781698371
12,3,4,0.5504782036588266
12,3,7,0.6130564318797416
12,4,8,0.7494509730381282
12,5,6,0.21452351537954922
12,5,9,0.8337277647526792
12,6,11,0.4112136825653121
12,7,9,0.5073162696096087
12,8,11,0.12184598811250015
12,9,11,0.8232238799337757
12,10,11,0.5800906395729313
13,0,1,0.8389545432327449
13,0,2,0.20411044675453854
13,0,3,0.2286156965998264
13,0,5,0.8876218089052043
13,0,10,0.12790855767276396
13,1,6,0.287362769839801
13,1,9,0.5955470817569678
13,2,4,0.27401722785037963
13,2,6,0.7771861969139185
13,2,9,0.718933086614535
13,3,8,0.5086838940547466
13,4,6,0.23038495760991223
13,4,8,0.9112603530132954
13,4,9,0.3446813838370386
13,5,11,0.4359697405123293
