graph_id,node_id,node_degree,error
0,0,2,0.286777223109071
0,1,4,-0.1252549243340329
0,2,2,1.2183079126320395
0,3,4,-0.039243453059945144
0,4,3,0.6526409188560661
0,5,2,-1.2654383798153035
0,6,2,1.215688868173217
0,7,3,0.8181349364874413
0,8,3,1.7680237073628835
0,9,3,0.4436541129493714
1,0,0,0.6040221063729089
1,1,2,1.1311103755199385
1,2,2,-2.262450730694914
1,3,3,-0.05370219841077502
1,4,3,0.4830927075099895
1,5,1,-1.0908442073203213
1,6,3,-1.251184943971584
1,7,1,-0.8119731761418565
1,8,3,-2.0683221157390097
1,9,4,-1.7128634296105558
2,0,1,-0.9701895641539062
2,1,1,0.2198530461160539
2,2,2,2.626034340881885
2,3,1,1.5411785858406
2,4,2,1.0024317679197283
2,5,3,0.08676124987096329
2,6,3,1.2874177935980926
2,7,6,0.96692876548579
2,8,3,1.3188160568346052
2,9,2,-0.2972444793766046
3,0,2,-0.17660121446851737
3,1,2,-3.0521784753996397
3,2,5,0.4898754963331578
3,3,1,0.01440679606900036
3,4,2,1.7265423839170218
3,5,3,1.0164939481778905
3,6,2,-1.0919100809322115
3,7,2,-0.2094189010976109
3,8,1,1.0399868607671194
3,9,0,1.7228270811401378
4,0,3,1.895943938975401
4,1,5,0.19142324684857137
4,2,4,2.5188035922445455
4,3,1,-0.21045088250779517
4,4,3,-0.7669319789175973
4,5,2,0.5439029529748417
4,6,1,-0.5883638404319422
4,7,3,0.22224934127221735
4,8,0,-1.205914830693097
4,9,4,0.2864349253825272
5,0,2,-0.2878155462761368
5,1,2,-1.9451939561664704
5,2,1,-2.4724724219491248
5,3,2,-2.5466184095038487
5,4,2,1.4856510230605253
5,5,2,-0.9081224807690181
5,6,4,-1.019588117564155
5,7,3,0.4008430527014645
5,8,0,0.3970872533298938
5,9,4,1.4334697405155787
6,0,2,0.1503402214636201
6,1,3,1.411117497719876
6,2,2,-2.5057436200941057
6,3,4,-1.8593790888644925
6,4,1,0.19731594584530002
6,5,2,-0.6192941090802379
6,6,2,-0.13203392118882729
6,7,2,0.49642664354227634
6,8,2,1.9100798464115851
6,9,4,0.9155325297665551
7,0,3,0.6649154723810454
7,1,1,-0.33240300549768875
7,2,2,-0.7467882961635565
7,3,4,0.6502244132270186
7,4,2,-2.125934511451729
7,5,2,0.47240872294826713
7,6,0,-0.19029847335671868
7,7,2,-1.7520542765630334
7,8,3,-1.0132620786835733
7,9,7,-2.956805863694975
8,0,2,-0.046059458128047445
8,1,3,-2.9317855934026085
8,2,1,-0.13872689110694464
8,3,1,-1.6200092189965956
8,4,0,0.704851914045248
8,5,1,0.5602595607547839
8,6,1,-0.3596653090761446
8,7,1,-1.3608675513755502
8,8,2,-1.9959464544898196
8,9,2,-0.25744863488479097
9,0,8,0.40673172157669085
9,1,5,0.10794994378296552
9,2,4,0.29341775732959946
9,3,4,1.2181045172945817
9,4,5,1.4718229362708835
9,5,4,0.5941929928116059
9,6,5,0.8784631870791748
9,7,1,0.6278569215135054
9,8,3,1.0866459325835556
9,9,3,3.720725358806792
10,0,2,0.5227187101669586
10,1,1,-0.28834060138436457
10,2,1,1.6472916919652083
10,3,1,-0.5678026948806344
10,4,3,-2.2883187018749163
10,5,3,-0.22814962630516
10,6,4,-0.21343683709146447
10,7,2,1.3551661029236106
10,8,1,1.3257057311914353
10,9,0,0.014050771473986673
11,0,4,0.6869491423624489
11,1,3,0.26125041089588774
11,2,3,0.8384844349892883
11,3,4,1.1866887730903304
11,4,4,1.5232390555580004
11,5,3,1.0580574471836277
11,6,3,0.20177128635024688
11,7,4,1.130981081915943
11,8,1,0.3859894766829247
11,9,3,1.7866984258300873
12,0,1,0.8773353102900496
12,1,2,1.0232977519454918
12,2,4,0.11640810608133464
12,3,3,-0.22868097510666738
12,4,2,1.4773798718426379
12,5,2,0.11279789336481096
12,6,2,2.309957142758651
12,7,3,0.29906506126285365
12,8,1,-0.21207016079405228
12,9,2,-1.5566211230684739
13,0,3,-0.039551634418252324
13,1,2,0.7280105900308279
13,2,4,-0.23644468698935645
13,3,1,-1.3477139303944223
13,4,4,-2.0116014001388822
13,5,1,1.5663409644882058
13,6,5,-0.3488494552129388
13,7,3,-0.063465877931454
13,8,2,0.21355991093540164
13,9,3,-1.8654959180454516
14,0,3,1.0699834793018859
14,1,3,0.5362226532901755
14,2,3,-1.0741585794383286
14,3,5,-1.059377725103072
14,4,2,-1.9390859378534047
14,5,1,0.4021296193509942
14,6,5,-0.52989975430598
14,7,4,-1.1494997602570816
14,8,2,-2.594333775632787
14,9,2,-0.8817549857829601
15,0,3,-0.12949485717229725
15,1,3,-0.24053612445227543
15,2,3,-1.1051535511953778
15,3,3,-0.5461102460305579
15,4,5,-0.9448379621456813
15,5,2,1.2964270214050457
15,6,1,-0.13174033192766274
15,7,4,-1.3030133959324866
15,8,4,-1.9460564169801957
15,9,2,-0.13103814465705405
16,0,2,0.6133622926713228
16,1,1,0.7927754006919814
16,2,0,-0.21002459041960603
16,3,2,1.5582544290247031
16,4,6,3.4252136393432924
16,5,3,2.946022240947212
16,6,3,0.14008783655764936
16,7,2,2.932879435175117
16,8,2,2.4391788954719344
16,9,1,-2.636294148757798
17,0,5,-0.33348481340477987
17,1,5,-0.012819118775256922
17,2,5,0.3949680657104577
